epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.5984,1.14537,3.67978,1.74531,0.71936,0.4375,0.54746,0.54418,0.24215,3.58869,0.30608,0.0001625,0.0001625,0.0001625
2,6.38751,0.29634,1.95829,0.92723,0.66582,0.81911,0.82251,0.81213,0.19904,2.46379,0.33167,0.000330818,0.000330818,0.000330818
3,10.8167,0.30152,1.65848,0.96444,0.69846,0.75,0.87325,0.85331,0.49887,3.8359,0.56243,0.000492205,0.000492205,0.000492205
4,15.1821,0.41813,1.52622,0.9906,0.34746,0.85,0.83458,0.67885,0.57199,2.55424,0.6002,0.000646662,0.000646662,0.000646662
5,18.7795,0.47465,1.54606,1.04303,0.32049,0.66709,0.50449,0.32745,1.19355,2.51149,1.30265,0.00079419,0.00079419,0.00079419
6,22.2932,0.5234,1.71931,1.01625,0.5018,0.83333,0.81444,0.57146,0.70767,3.86722,0.59237,0.000934788,0.000934788,0.000934788
7,25.8541,0.617,1.59024,1.09406,0.50562,0.51667,0.48753,0.35865,1.23866,4.62244,1.2272,0.00106846,0.00106846,0.00106846
8,29.3642,0.48899,1.52412,0.99469,0.30542,0.41667,0.48831,0.26257,1.22826,7.24154,1.3977,0.00107675,0.00107675,0.00107675
9,32.8695,0.45817,1.40857,0.97596,0.29125,1,0.66223,0.30333,0.83965,5.38114,0.90165,0.001052,0.001052,0.001052
10,36.3626,0.40806,1.29613,0.99321,0.25294,0.7625,0.52127,0.30751,0.70909,6.21014,0.70086,0.00102725,0.00102725,0.00102725
11,39.9358,0.43137,1.24924,0.95062,0.38306,0.95154,0.80444,0.76299,0.23966,2.89706,0.22467,0.0010025,0.0010025,0.0010025
12,43.4447,0.39542,1.29322,0.98874,0.86597,0.6875,0.86361,0.80872,0.26441,1.51235,0.24199,0.00097775,0.00097775,0.00097775
13,46.9139,0.3569,1.23204,0.96471,0.70283,0.5,0.44623,0.36323,0.25634,3.54739,0.26327,0.000953,0.000953,0.000953
14,50.4031,0.31102,1.33114,0.92363,0.70283,0.5,0.44623,0.36323,0.25634,3.54739,0.26327,0.00092825,0.00092825,0.00092825
15,53.9039,0.28472,1.2357,0.95056,0.56204,0.98787,0.83135,0.75738,0.14003,1.22421,0.17627,0.0009035,0.0009035,0.0009035
16,57.3749,0.30934,1.30222,0.95548,0.7099,1,0.85944,0.85944,0.22327,0.9923,0.22121,0.00087875,0.00087875,0.00087875
17,61.8764,0.32729,1.19181,0.96887,0.53092,1,0.85944,0.74095,0.3884,1.15539,0.3389,0.000854,0.000854,0.000854
18,65.673,0.26674,1.17549,0.91702,0.4068,0.95,0.78863,0.49918,0.79225,1.89134,0.72919,0.00082925,0.00082925,0.00082925
19,69.1645,0.28692,1.19203,0.94179,0.62796,0.95702,0.86236,0.84758,0.33697,1.04294,0.35602,0.0008045,0.0008045,0.0008045
20,72.6496,0.26146,1.1451,0.89996,0.62734,1,0.86674,0.85917,0.38079,0.9376,0.3959,0.00077975,0.00077975,0.00077975
21,77.0511,0.26678,1.07461,0.92553,0.68142,1,0.81004,0.79649,0.24687,0.84626,0.3063,0.000755,0.000755,0.000755
22,80.6444,0.25288,1.08636,0.93452,0.68142,1,0.81004,0.79649,0.24687,0.84626,0.3063,0.00073025,0.00073025,0.00073025
23,84.136,0.24589,1.10073,0.90988,0.60177,1,0.77263,0.77263,0.21368,0.75597,0.23864,0.0007055,0.0007055,0.0007055
24,87.6103,0.2256,1.05304,0.88828,0.47506,0.95,0.75733,0.74213,0.28721,1.06966,0.26226,0.00068075,0.00068075,0.00068075
25,91.0639,0.23086,0.97726,0.87598,0.45778,0.91801,0.75456,0.74472,0.27187,1.41263,0.24627,0.000656,0.000656,0.000656
26,94.5743,0.21634,0.94272,0.88922,0.48888,0.9208,0.84072,0.84072,0.23265,1.06202,0.23837,0.00063125,0.00063125,0.00063125
27,98.0532,0.20227,0.96934,0.87765,0.5936,0.96408,0.78385,0.78385,0.23915,0.76425,0.23853,0.0006065,0.0006065,0.0006065
28,101.535,0.20834,0.94683,0.8988,0.66841,0.95528,0.78215,0.78215,0.23073,0.67267,0.2455,0.00058175,0.00058175,0.00058175
29,104.997,0.24471,0.9472,0.88651,0.68114,1,0.86617,0.86617,0.19658,0.67289,0.22516,0.000557,0.000557,0.000557
30,109.383,0.20533,0.96713,0.89216,0.68114,1,0.86617,0.86617,0.19658,0.67289,0.22516,0.00053225,0.00053225,0.00053225
31,113.818,0.21624,0.94167,0.89966,0.66842,0.96861,0.80865,0.80865,0.2263,0.689,0.23688,0.0005075,0.0005075,0.0005075
32,117.335,0.18985,0.98698,0.87576,0.66362,0.99489,0.8184,0.8184,0.21762,0.65646,0.22322,0.00048275,0.00048275,0.00048275
33,120.782,0.19698,0.98724,0.90069,0.66232,0.95708,0.8184,0.8184,0.19698,0.69962,0.21392,0.000458,0.000458,0.000458
34,124.247,0.18409,0.86198,0.90272,0.66103,0.95746,0.79455,0.79455,0.19698,0.67383,0.23371,0.00043325,0.00043325,0.00043325
35,127.994,0.17633,0.91266,0.87348,0.64895,0.96054,0.83986,0.83986,0.22668,0.62947,0.26725,0.0004085,0.0004085,0.0004085
36,131.45,0.17511,0.8769,0.8702,0.63664,0.96962,0.8384,0.8384,0.24557,0.62279,0.27298,0.00038375,0.00038375,0.00038375
37,134.963,0.18322,0.89759,0.89456,0.62853,0.97305,0.8384,0.8384,0.2029,0.63296,0.22977,0.000359,0.000359,0.000359
38,138.369,0.16291,0.80668,0.91635,0.62853,0.97305,0.8384,0.8384,0.2029,0.63296,0.22977,0.00033425,0.00033425,0.00033425
39,141.866,0.1643,1.09198,0.87302,0.63895,0.98329,0.78215,0.78215,0.1996,0.6042,0.23072,0.0003095,0.0003095,0.0003095
40,145.381,0.17692,0.87356,0.88525,0.68289,1,0.85944,0.85944,0.1981,0.57856,0.23697,0.00028475,0.00028475,0.00028475
41,148.852,0.16431,0.95536,0.87858,0.69212,1,0.83469,0.83469,0.17148,0.58809,0.21871,0.00026,0.00026,0.00026
42,152.236,0.1471,1.0261,0.85059,0.6879,1,0.85636,0.85636,0.13662,0.60603,0.19634,0.00023525,0.00023525,0.00023525
43,155.725,0.12003,0.83129,0.84714,0.68197,1,0.88444,0.88444,0.12521,0.60567,0.17006,0.0002105,0.0002105,0.0002105
44,160.183,0.12087,0.74802,0.85393,0.6791,1,0.88528,0.88528,0.10159,0.60821,0.14339,0.00018575,0.00018575,0.00018575
45,164.471,0.12463,0.80145,0.84656,0.67263,1,0.85968,0.85968,0.08786,0.60439,0.13554,0.000161,0.000161,0.000161
46,167.864,0.11782,0.7865,0.86765,0.67263,1,0.85968,0.85968,0.08786,0.60439,0.13554,0.00013625,0.00013625,0.00013625
47,171.296,0.10585,0.76223,0.81317,0.67864,1,0.84599,0.84599,0.08801,0.59679,0.13537,0.0001115,0.0001115,0.0001115
48,174.799,0.10372,0.7124,0.82433,0.68762,0.98829,0.85778,0.85778,0.09029,0.60254,0.13893,8.675e-05,8.675e-05,8.675e-05
49,178.25,0.10577,0.69686,0.84753,0.68882,0.98615,0.85538,0.85538,0.09747,0.61265,0.14437,6.2e-05,6.2e-05,6.2e-05
50,181.718,0.10128,0.69562,0.83749,0.69073,0.98874,0.87303,0.87303,0.10142,0.61128,0.14505,3.725e-05,3.725e-05,3.725e-05
